iter	Passed	Remaining
702	19903	8408
703	19931	8380
704	19958	8351
705	19988	8323
706	20018	8296
707	20046	8267
708	20076	8240
709	20106	8212
710	20136	8184
711	20164	8156
712	20193	8128
713	20221	8100
714	20249	8071
715	20277	8043
716	20305	8014
717	20333	7986
718	20361	7957
719	20383	7927
720	20411	7898
721	20438	7869
722	20466	7841
723	20495	7813
724	20523	7784
725	20551	7756
726	20581	7728
727	20609	7700
728	20636	7671
729	20664	7642
730	20691	7614
731	20719	7585
732	20748	7557
733	20777	7529
734	20804	7500
735	20832	7472
736	20860	7444
737	20890	7416
738	20917	7387
739	20945	7359
740	20974	7331
741	21004	7303
742	21033	7275
743	21062	7247
744	21090	7218
745	21119	7190
746	21147	7162
747	21175	7134
748	21203	7105
749	21230	7076
750	21258	7048
751	21287	7020
752	21314	6991
753	21341	6962
754	21369	6934
755	21398	6906
756	21426	6877
757	21453	6849
758	21481	6820
759	21511	6792
760	21539	6764
761	21568	6736
762	21597	6708
763	21625	6680
764	21653	6651
765	21680	6623
766	21709	6594
767	21737	6566
768	21767	6538
769	21794	6510
770	21822	6481
771	21853	6454
772	21882	6425
773	21910	6397
774	21937	6369
775	21965	6340
776	21992	6311
777	22020	6283
778	22048	6255
779	22077	6227
780	22107	6199
781	22136	6170
782	22166	6143
783	22197	6115
784	22228	6087
785	22257	6059
786	22285	6031
787	22315	6003
788	22363	5980
789	22400	5954
790	22428	5926
791	22456	5897
792	22483	5869
793	22510	5840
794	22538	5811
795	22567	5783
796	22594	5754
797	22622	5726
798	22666	5702
799	22694	5673
800	22721	5644
801	22749	5616
802	22776	5587
803	22803	5559
804	22831	5530
805	22859	5502
806	22886	5473
807	22915	5445
808	22943	5416
809	22972	5388
810	23000	5360
811	23027	5331
812	23054	5302
813	23082	5274
814	23109	5245
815	23137	5217
816	23164	5188
817	23191	5160
818	23220	5131
819	23247	5103
820	23276	5074
821	23304	5046
822	23332	5018
823	23362	4990
824	23391	4961
825	23418	4933
826	23447	4904
827	23475	4876
828	23503	4848
829	23531	4819
830	23560	4791
831	23588	4763
832	23615	4734
833	23643	4705
834	23670	4677
835	23697	4648
836	23725	4620
837	23753	4591
838	23779	4563
839	23807	4534
840	23834	4506
841	23862	4477
842	23890	4449
843	23918	4420
844	23947	4392
845	23975	4364
846	24003	4335
847	24032	4307
848	24061	4279
849	24091	4251
850	24121	4223
851	24152	4195
852	24183	4167
853	24211	4139
854	24240	4111
855	24269	4082
856	24298	4054
857	24327	4026
858	24357	3998
859	24385	3969
860	24414	3941
861	24442	3913
862	24471	3884
863	24498	3856
864	24528	3828
865	24558	3800
866	24586	3771
867	24615	3743
868	24644	3715
869	24674	3686
870	24703	3658
871	24738	3631
872	24768	3603
873	24798	3575
874	24828	3546
875	24872	3520
876	24902	3492
877	24932	3464
878	24963	3436
879	24992	3408
880	25020	3379
881	25048	3351
882	25078	3322
883	25111	3295
884	25142	3267
885	25177	3239
886	25207	3211
887	25236	3182
888	25274	3155
889	25302	3127
890	25331	3098
891	25360	3070
892	25390	3042
893	25419	3013
894	25448	2985
895	25478	2957
896	25506	2928
897	25537	2900
898	25568	2872
899	25598	2844
900	25629	2816
901	25658	2787
902	25689	2759
903	25719	2731
904	25748	2702
905	25776	2674
906	25803	2645
907	25830	2617
908	25857	2588
909	25885	2560
910	25913	2531
911	25941	2503
912	25969	2474
913	25997	2446
914	26025	2417
915	26053	2389
916	26082	2360
917	26112	2332
918	26143	2304
919	26172	2275
920	26201	2247
921	26230	2219
922	26258	2190
923	26287	2162
924	26317	2133
925	26345	2105
926	26373	2076
927	26401	2048
928	26429	2019
929	26456	1991
930	26485	1962
931	26513	1934
932	26543	1906
933	26573	1877
934	26601	1849
935	26644	1821
936	26672	1793
937	26700	1764
938	26728	1736
939	26756	1707
940	26785	1679
941	26814	1650
942	26841	1622
943	26869	1593
944	26898	1565
945	26947	1538
946	26976	1509
947	27005	1481
948	27033	1452
949	27062	1424
950	27090	1395
951	27119	1367
952	27147	1338
953	27174	1310
954	27202	1281
955	27230	1253
956	27258	1224
957	27288	1196
958	27317	1167
959	27347	1139
960	27377	1111
961	27405	1082
962	27432	1054
963	27460	1025
964	27488	996
965	27515	968
966	27546	940
967	27574	911
968	27602	883
969	27631	854
970	27659	826
971	27700	797
972	27728	769
973	27756	740
974	27784	712
975	27811	683
976	27839	655
977	27867	626
978	27894	598
979	27923	569
980	27950	541
981	27977	512
982	28005	484
983	28032	455
984	28059	427
985	28087	398
986	28114	370
987	28141	341
988	28169	313
989	28196	284
990	28223	256
991	28251	227
992	28279	199
993	28306	170
994	28333	142
995	28360	113
996	28388	85
997	28415	56
998	28442	28
999	28470	0
